,Modelo,Accuracy,Classification Error,Recall,Specificity,Precision,F1 Score,Tiempo de Entrenamiento (m),AUC
0,Naive Bayes,0.8251922871488089,0.17480771285119112,0.38382924362591153,0.9729951337765815,0.8263809305523723,0.5241885654054447,0.01,0.8242559060915204
1,Regresion Logistica,0.8569196667022754,0.14308033329772463,0.5372331931654868,0.9639756867079018,0.8331682350998845,0.6532474677194913,11.0,0.8934726376001814
2,KNN,0.8605918171135563,0.13940818288644374,0.590088891254591,0.9511773408673642,0.8018806509945751,0.679872439592788,1020.0,0.8926932260421311
3,CatBoost,0.8865772887512018,0.11342271124879821,0.7607920370468941,0.9287000231724925,0.7813371234898595,0.7709277238403451,0.067,0.9173675342842253
